Deutsch,Arabisch,Transkription,Kategorie
gehen,يذهب,Yadhhab,Bewegung
kommen,يأتي,Yaʾtī,Bewegung
zurückkehren,يعود,Yaʿūd,Bewegung
fahren,يسافر,Yusāfir,Bewegung
laufen,يمشي,Yamshī,Bewegung
rennen,يركض,Yarkuḍ,Bewegung
Haus,بيت,Bayt,Haushalt
Zimmer,غرفة,Ghurfa,Haushalt
Küche,مطبخ,Maṭbakh,Haushalt
Bad,حمام,Ḥammām,Haushalt
Fenster,نافذة,Nāfidha,Haushalt
Tür,باب,Bāb,Haushalt
Tisch,طاولة,Ṭāwila,Haushalt
Stuhl,كرسي,Kursī,Haushalt
Bett,سرير,Sarīr,Haushalt
Handy,هاتف,Hātif,Gegenstand
Buch,كتاب,Kitāb,Gegenstand
Stift,قلم,Qalam,Gegenstand
Papier,ورقة,Waraqa,Gegenstand
Schlüssel,مفتاح,Miftāḥ,Gegenstand
Tasche,حقيبة,Ḥaqība,Gegenstand
Computer,حاسوب,Ḥāsūb,Digital
Internet,إنترنت,Internet,Digital
E-Mail,بريد إلكتروني,Barīd iliktrūnī,Digital
Telefon,هاتف,Hātif,Digital
Nachricht,رسالة,Risāla,Digital
Bildschirm,شاشة,Shāsha,Digital
Ich habe keine Zeit,ليس عندي وقت,Laysa ʿindī waqt,Alltag
Ich bin zuhause,أنا في البيت,Anā fī al-bayt,Alltag
Ich gehe zur Arbeit,أذهب إلى العمل,Adhhab ilā al-ʿamal,Alltag
Ich warte,أنتظر,Antaẓir,Alltag
Ich bin beschäftigt,أنا مشغول,Anā mashghūl,Alltag
