Deutsch,Arabisch,Transkription,Kategorie
Kleidung,ملابس,Malābis,Kleidung
Hemd,قميص,Qamīṣ,Kleidung
Hose,بنطال,Bintāl,Kleidung
Jacke,سترة,Sutra,Kleidung
Kleid,فستان,Fustān,Kleidung
Schuhe,حذاء,Ḥidhāʾ,Kleidung
Kopftuch,حجاب,Ḥijāb,Kleidung
Familie,عائلة,ʿĀʾila,Familie
Vater,أب,ʾAb,Familie
Mutter,أم,ʾUmm,Familie
Bruder,أخ,ʾAkh,Familie
Schwester,أخت,ʾUkht,Familie
Sohn,ابن,Ibn,Familie
Tochter,ابنة,Ibtina / Bint,Familie
Morgen,صباح,Ṣabāḥ,Tageszeit
Mittag,ظهر,Ẓuhr,Tageszeit
Nachmittag,عصر,ʿAṣr,Tageszeit
Abend,مساء,Masāʾ,Tageszeit
Nacht,ليل,Layl,Tageszeit
Haus,بيت,Bayt,Ort
Schule,مدرسة,Madrasa,Ort
Universität,جامعة,Jāmiʿa,Ort
Moschee,مسجد,Masjid,Ort
Markt,سوق,Sūq,Ort
Straße,شارع,Shāriʿ,Ort
gehen,يذهب,Yadhhab,Verb
kommen,يأتي,Yaʾtī,Verb
essen,يأكل,Yaʾkul,Verb
trinken,يشرب,Yashrab,Verb
lesen,يقرأ,Yaqraʾ,Verb
schreiben,يكتب,Yaktub,Verb
sprechen,يتكلم,Yatakallam,Verb
