Deutsch,Arabisch,Transkription,Kategorie
Hör zu!,استمع!,Istamiʿ!,Anweisung
Sprich!,تحدث!,Taḥaddath!,Anweisung
Schreib!,اكتب!,Uktub!,Anweisung
Lies!,اقرأ!,Iqraʾ!,Anweisung
Mach das!,افعل هذا!,Ifʿal hādhā!,Anweisung
Warte!,انتظر!,Intaẓir!,Anweisung
Komm!,تعال!,Taʿāl!,Anweisung
Setz dich!,اجلس!,Ijlis!,Anweisung
Schule,مدرسة,Madrasa,Schule
Lehrer,معلم,Muʿallim,Schule
Schüler,تلميذ,Tilmīdh,Schule
Klasse,صف,Ṣaff,Schule
Buch,كتاب,Kitāb,Schule
Tafel,سبورة,Sabbūra,Schule
Frage,سؤال,Suʾāl,Schule
Antwort,جواب,Jawāb,Schule
Prüfung,امتحان,Imtiḥān,Prüfung
Noten,درجات,Darajāt,Prüfung
bestehen,ينجح,Yanjah,Prüfung
durchfallen,يرسب,Yarsub,Prüfung
Übung,تمرين,Tamrīn,Prüfung
Test,اختبار,Ikhtibār,Prüfung
lesen,يقرأ,Yaqraʾ,Prüfung
schreiben,يكتب,Yaktub,Prüfung
sehen,يرى,Yarā,Verb
hören,يسمع,Yasmaʿ,Verb
denken,يفكر,Yufakkir,Verb
verstehen,يفهم,Yafham,Verb
vergessen,ينسى,Yansā,Verb
sagen,يقول,Yaqūl,Verb
tun/machen,يفعل,Yafʿal,Verb
