Deutsch,Arabisch,Transkription,Kategorie
jetzt,الآن,Al-ʾān,Adverb
bald,قريباً,Qarīban,Adverb
immer,دائماً,Dāʾiman,Adverb
manchmal,أحياناً,Aḥyānan,Adverb
nie,أبداً,ʾAbadan,Adverb
schnell,بسرعة,Bisurʿa,Adverb
langsam,ببطء,Bibuṭʾ,Adverb
in,في,Fī,Präposition
auf,على,ʿAlā,Präposition
unter,تحت,Taḥt,Präposition
neben,بجانب,Bijānib,Präposition
vor,أمام,Amām,Präposition
hinter,خلف,Khalf,Präposition
zwischen,بين,Bayn,Präposition
Ich möchte das kaufen,أريد أن أشتري هذا,Urīdu an ishtariy hādhā,Supermarkt
Wie viel kostet das?,كم سعر هذا؟,Kam siʿr hādhā?,Supermarkt
Wo ist die Kasse?,أين الصندوق؟,Ayna aṣ-ṣundūq?,Supermarkt
Gibt es Rabatt?,هل هناك خصم؟,Hal hunāka khaṣm?,Supermarkt
Ich möchte essen,أريد أن آكل,Urīdu an ākul,Restaurant
Ich möchte trinken,أريد أن أشرب,Urīdu an ashrab,Restaurant
"Die Rechnung, bitte",الحساب من فضلك,Al-ḥisāb min faḍlik,Restaurant
Das war lecker,كان لذيذاً,Kāna ladhīdhan,Restaurant
Zum Bahnhof bitte,إلى المحطة من فضلك,Ilā al-maḥaṭṭa min faḍlik,Taxi
Wie lange dauert es?,كم يستغرق الوقت؟,Kam yastaġriqu al-waqt?,Taxi
Stoppen Sie bitte hier,قف هنا من فضلك,Qif hunā min faḍlik,Taxi
Ich hätte gerne ...,أود أن أحصل على ...,Awaddu an aḥṣul ʿalā ...,Wunsch
Kannst du mir helfen?,هل يمكنك مساعدتي؟,Hal yumkinuka musāʿadatī?,Wunsch
Ich brauche Hilfe,أحتاج إلى مساعدة,Aḥtāju ilā musāʿada,Wunsch
Ich wünsche dir einen schönen Tag,أتمنى لك يوماً سعيداً,Atamannā laka yawman saʿīdan,Wunsch
