Deutsch,Arabisch,Transkription,Kategorie
Guten Appetit,شهية طيبة,Shahiyya ṭayyiba,Redewendung
Herzlichen Glückwunsch,مبروك,Mabrūk,Redewendung
Viel Glück,حظاً سعيداً,Ḥaẓẓan saʿīdan,Redewendung
Bis später,أراك لاحقاً,Arāka lāḥiqan,Redewendung
In Ordnung / Okay,طيب,Ṭayyib,Redewendung
So Gott will,إن شاء الله,In shāʾ Allāh,Redewendung
Gott sei Dank,الحمد لله,Al-ḥamdu lillāh,Redewendung
Heute,اليوم,Al-yawm,Zeit
Morgen,غداً,Ghadan,Zeit
Gestern,أمس,Ams,Zeit
Stunde,ساعة,Sāʿa,Zeit
Minute,دقيقة,Daqīqa,Zeit
Sekunde,ثانية,Thāniya,Zeit
aufstehen,يستيقظ,Yastaīqiẓ,Alltag
schlafen,ينام,Yanām,Alltag
arbeiten,يعمل,Yaʿmal,Alltag
lernen,يتعلم,Yataʿallam,Alltag
kochen,يطبخ,Yaṭbukh,Alltag
putzen,ينظف,Yunaẓẓif,Alltag
Elf,أحد عشر,ʾAḥada ʿashar,Zahl
Zwölf,اثنا عشر,Ithnā ʿashar,Zahl
Dreizehn,ثلاثة عشر,Thalāthata ʿashar,Zahl
Zwanzig,عشرون,ʿIshrūn,Zahl
Dreißig,ثلاثون,Thalāthūn,Zahl
Vierzig,أربعون,Arbaʿūn,Zahl
Fünfzig,خمسون,Khamsūn,Zahl
Sechzig,ستون,Sittūn,Zahl
Siebzig,سبعون,Sabʿūn,Zahl
Achtzig,ثمانون,Thamānūn,Zahl
Neunzig,تسعون,Tisʿūn,Zahl
Hundert,مئة,Miʾa,Zahl
Gebet,صلاة,Ṣalāh,Religion
Fasten,صوم,Ṣawm,Religion
Moschee,مسجد,Masjid,Religion
Allah,الله,Allāh,Religion
Qurʾān,قرآن,Qurʾān,Religion
Islam,الإسلام,Al-islām,Religion
