Deutsch,Arabisch,Transkription,Kategorie
Was?,ماذا؟,Mādhā?,Fragewort
Wer?,من؟,Man?,Fragewort
Wo?,أين؟,Ayna?,Fragewort
Wann?,متى؟,Matā?,Fragewort
Wie?,كيف؟,Kayfa?,Fragewort
Warum?,لماذا؟,Limādhā?,Fragewort
Ich,أنا,Anā,Pronomen
Du (m),أنتَ,Anta,Pronomen
Du (w),أنتِ,Anti,Pronomen
Er,هو,Huwa,Pronomen
Sie,هي,Hiya,Pronomen
Wir,نحن,Naḥnu,Pronomen
Ihr (m),أنتم,Antum,Pronomen
Sie (pl),هم,Hum,Pronomen
glücklich,سعيد,Saʿīd,Gefühl
traurig,حزين,Ḥazīn,Gefühl
müde,متعب,Mutʿab,Gefühl
wütend,غاضب,Ghāḍib,Gefühl
nervös,متوتر,Mutawattir,Gefühl
ruhig,هادئ,Hādiʾ,Gefühl
Kopf,رأس,Raʾs,Körper
Hand,يد,Yad,Körper
Fuß,قدم,Qadam,Körper
Auge,عين,ʿAyn,Körper
Ohr,أذن,ʾUdhun,Körper
Mund,فم,Fam,Körper
Nase,أنف,ʾAnf,Körper
groß,كبير,Kabīr,Adjektiv
klein,صغير,Ṣaghīr,Adjektiv
schön,جميل,Jamīl,Adjektiv
hässlich,قبيح,Qabīḥ,Adjektiv
alt,قديم,Qadīm,Adjektiv
neu,جديد,Jadīd,Adjektiv
