Deutsch,Arabisch,Transkription,Kategorie
Frühstück,فطور,Fuṭūr,Küche
Ei,بيضة,Bayḍa,Küche
Käse,جبن,Jubn,Küche
Butter,زبدة,Zubda,Küche
Honig,عسل,ʿAsal,Küche
Tee,شاي,Shāy,Küche
Kaffee,قهوة,Qahwa,Küche
Tasse,كوب,Kūb,Küche
Löffel,ملعقة,Milʿaqa,Küche
Messer,سكين,Sikkīn,Küche
Gabel,شوكة,Shawka,Küche
Wohnzimmer,غرفة الجلوس,Ghurfat al-julūs,Zuhause
Schlafzimmer,غرفة النوم,Ghurfat an-nawm,Zuhause
Badezimmer,حمام,Ḥammām,Zuhause
Küche,مطبخ,Maṭbakh,Zuhause
Lampe,مصباح,Miṣbāḥ,Zuhause
Schrank,خزانة,Khizāna,Zuhause
Spiegel,مرآة,Mirʾāh,Zuhause
Teppich,سجادة,Sijjāda,Zuhause
Hundert,مئة,Miʾa,Zahl
Zweihundert,مئتان,Miʾatān,Zahl
Dreihundert,ثلاثمئة,Thalāthumiʾa,Zahl
Vierhundert,أربعمئة,Arbaʿumiʾa,Zahl
Fünfhundert,خمسمئة,Khamsumiʾa,Zahl
Sechshundert,ستمئة,Sittumiʾa,Zahl
Siebenhundert,سبعمئة,Sabʿumiʾa,Zahl
Achthundert,ثمانمئة,Thamānumiʾa,Zahl
Neunhundert,تسعمئة,Tisʿumiʾa,Zahl
Tausend,ألف,ʾAlf,Zahl
Uhr,ساعة,Sāʿa,Uhrzeit
Es ist eins,الساعة الواحدة,As-sāʿa al-wāḥida,Uhrzeit
Es ist zwei Uhr,الساعة الثانية,As-sāʿa ath-thāniya,Uhrzeit
Mittag,الظهر,Aẓ-Ẓuhr,Uhrzeit
Mitternacht,منتصف الليل,Muntaṣaf al-layl,Uhrzeit
Freund,صديق,Ṣadīq,Beziehung
Freundin,صديقة,Ṣadīqa,Beziehung
Ehemann,زوج,Zawj,Beziehung
Ehefrau,زوجة,Zawja,Beziehung
Verlobt,خطيب / خطيبة,Khaṭīb / Khaṭība,Beziehung
Liebe,حب,Ḥubb,Beziehung
Familie,عائلة,ʿĀʾila,Beziehung
