Deutsch,Arabisch,Transkription,Kategorie
Reise,سفر,Safar,Reisen
Flughafen,مطار,Maṭār,Reisen
Bahnhof,محطة القطار,Maḥaṭṭat al-qiṭār,Reisen
Haltestelle,محطة,Maḥaṭṭa,Reisen
Hotel,فندق,Funduq,Reisen
Reisepass,جواز السفر,Jawāz as-safar,Reisen
Gepäck,أمتعة,ʾAmtiʿa,Reisen
Auto,سيارة,Sayyāra,Verkehr
Bus,حافلة,Ḥāfila,Verkehr
Zug,قطار,Qiṭār,Verkehr
Flugzeug,طائرة,Ṭāʾira,Verkehr
Taxi,تاكسي,Tāksī,Verkehr
Fahrrad,دراجة,Darrāja,Verkehr
zu Fuß,مشياً,Mashyan,Verkehr
geradeaus,إلى الأمام,Ilā al-amām,Wegbeschreibung
rechts,يمين,Yamīn,Wegbeschreibung
links,يسار,Yasār,Wegbeschreibung
an der Ecke,عند الزاوية,ʿInd az-zāwiya,Wegbeschreibung
nach dem Kreisverkehr,بعد الدوار,Baʿda ad-dawwār,Wegbeschreibung
gegenüber,مقابل,Muqābil,Wegbeschreibung
nah,قريب,Qarīb,Wegbeschreibung
weit,بعيد,Baʿīd,Wegbeschreibung
Ticket,تذكرة,Tadhkira,Reisen
Fahrkarte,بطاقة السفر,Biṭāqat as-safar,Reisen
Wie viel kostet ein Ticket?,كم ثمن التذكرة؟,Kam thaman at-tadhkira?,Reisen
Ich möchte ein Ticket nach ...,أريد تذكرة إلى ...,Urīdu tadhkira ilā ...,Reisen
Gibt es einen Sitzplatz?,هل هناك مقعد؟,Hal hunāka maqʿad?,Reisen
Ich habe reserviert,أنا حجزت,Anā ḥajaztu,Reisen
Wann fährt der Zug?,متى يغادر القطار؟,Matā yughādir al-qiṭār?,Reisen
