Deutsch,Arabisch,Transkription,Kategorie
Wasser,ماء,Māʾ,Essen & Trinken
Brot,خبز,Khubz,Essen & Trinken
Milch,حليب,Ḥalīb,Essen & Trinken
Fleisch,لحم,Laḥm,Essen & Trinken
Reis,أرز,ʾAruzz,Essen & Trinken
Fisch,سمك,Samak,Essen & Trinken
Gemüse,خضار,Khuḍār,Essen & Trinken
Obst,فاكهة,Fākihat,Essen & Trinken
Ich habe Hunger,أنا جائع,Anā jāʾiʿ,Essen & Trinken
Ich habe Durst,أنا عطشان,Anā ʿaṭshān,Essen & Trinken
Montag,الاثنين,Al-ithnayn,Wochentage
Dienstag,الثلاثاء,Ath-thulāthāʾ,Wochentage
Mittwoch,الأربعاء,Al-arbiʿāʾ,Wochentage
Donnerstag,الخميس,Al-khamīs,Wochentage
Freitag,الجمعة,Al-jumʿa,Wochentage
Samstag,السبت,As-sabt,Wochentage
Sonntag,الأحد,Al-aḥad,Wochentage
Schwarz,أسود,ʾAswad,Farben
Weiß,أبيض,ʾAbyaḍ,Farben
Rot,أحمر,ʾAḥmar,Farben
Blau,أزرق,ʾAzraq,Farben
Grün,أخضر,ʾAkhḍar,Farben
Gelb,أصفر,ʾAṣfar,Farben
Braun,بني,Bunnī,Farben
Grau,رمادي,Ramādī,Farben
Es ist heiß,الجو حار,Al-jaww ḥārr,Wetter
Es ist kalt,الجو بارد,Al-jaww bārid,Wetter
Es regnet,تمطر,Tumṭir,Wetter
Es ist sonnig,مشمس,Mushmis,Wetter
Es ist windig,عاصف,ʿĀṣif,Wetter
